measurement_date,upstream_water_level,downstream_water_level,inflow_rate,outflow_rate
'2011 Jun 14',145.73,65.09,13600.00,9480.00
'2011 Jun 15',146.69,64.46,12800.00,11600.00
'2011 Jun 16',146.53,64.74,12600.00,12700.00
'2011 Jun 17',145.70,65.14,15500.00,16000.00
'2011 Jun 18',145.70,65.62,15500.00,15200.00
'2011 Jun 19',145.91,64.94,18300.00,18500.00
'2011 Jun 20',145.94,64.73,18000.00,18300.00
'2011 Jun 21',145.73,65.03,16300.00,18000.00
'2011 Jun 22',145.59,65.56,16000.00,18500.00
'2011 Jun 23',147.55,65.02,39000.00,18300.00
'2011 Jun 24',147.64,64.96,39000.00,18200.00
'2011 Jun 25',149.66,68.26,29600.00,27900.00
'2011 Jun 26',149.75,68.42,27000.00,27900.00
'2011 Jun 27',148.36,68.24,19500.00,28000.00
'2011 Jun 28',147.30,67.98,18700.00,25100.00
'2011 Jun 29',147.41,66.98,18000.00,19500.00
'2011 Jun 30',147.44,67.24,17800.00,18800.00
'2011 Jul 01',146.41,67.12,15800.00,20000.00
'2011 Jul 02',146.47,66.24,15600.00,16200.00
'2011 Jul 03',146.00,66.14,14800.00,16400.00
'2011 Jul 04',145.73,65.54,15400.00,16200.00
'2011 Jul 05',145.14,64.88,16500.00,16700.00
'2011 Jul 06',145.24,65.42,22600.00,19400.00
'2011 Jul 07',145.72,68.00,30000.00,28400.00
'2011 Jul 08',145.88,68.22,36000.00,21900.00
'2011 Jul 09',148.42,67.68,31700.00,24000.00
'2011 Jul 10',148.42,67.56,21700.00,24900.00
'2011 Jul 11',148.46,67.60,20700.00,23100.00
'2011 Jul 12',147.47,66.87,16000.00,19700.00
'2011 Jul 13',147.17,65.17,15500.00,17400.00
'2011 Jul 14',146.59,65.34,15200.00,17900.00
'2011 Jul 15',146.13,65.72,15600.00,17700.00
'2011 Jul 16',146.16,64.84,15200.00,15300.00
'2011 Jul 17',145.98,65.27,15600.00,16300.00
'2011 Jul 18',145.59,66.04,16500.00,17800.00
'2011 Jul 19',145.37,65.02,18200.00,18500.00
'2011 Jul 20',145.44,65.14,18700.00,17600.00
'2011 Jul 21',145.74,64.94,19500.00,18400.00
'2011 Jul 22',146.18,64.90,20500.00,18300.00
'2011 Jul 23',146.23,64.86,20500.00,17300.00
'2011 Jul 24',146.56,65.40,19500.00,18800.00
'2011 Jul 25',146.75,65.06,18500.00,21300.00
'2011 Jul 26',146.85,64.88,18500.00,18100.00
'2011 Jul 27',,,,
'2011 Jul 28',,,,
'2011 Jul 29',,,,
'2011 Jul 30',,,,
'2011 Jul 31',,,,
'2011 Aug 01',,,,
'2011 Aug 02',,,,
'2011 Aug 03',,,,
'2011 Aug 04',,,,
'2011 Aug 05',,,,
'2011 Aug 06',,,,
'2011 Aug 07',,,,
'2011 Aug 08',,,,
'2011 Aug 09',,,,
'2011 Aug 10',,,,
'2011 Aug 11',,,,
'2011 Aug 12',,,,
'2011 Aug 13',,,,
'2011 Aug 14',,,,
'2011 Aug 15',,,,
'2011 Aug 16',,,,
'2011 Aug 17',,,,
'2011 Aug 18',,,,
'2011 Aug 19',,,,
'2011 Aug 20',,,,
'2011 Aug 21',,,,
'2011 Aug 22',,,,
'2011 Aug 23',,,,
'2011 Aug 24',,,,
'2011 Aug 25',,,,
'2011 Aug 26',,,,
'2011 Aug 27',,,,
'2011 Aug 28',,,,
'2011 Aug 29',,,,
'2011 Aug 30',,,,
'2011 Aug 31',,,,
'2011 Sep 01',150.24,64.92,11800.00,10200.00
'2011 Sep 02',150.39,65.06,11700.00,10200.00
'2011 Sep 03',150.62,65.14,11700.00,10200.00
'2011 Sep 04',150.91,64.92,12000.00,10100.00
'2011 Sep 05',150.94,64.74,12000.00,9430.00
'2011 Sep 06',151.29,65.14,11800.00,10100.00
'2011 Sep 07',151.59,64.86,12600.00,9750.00
'2011 Sep 08',151.75,64.68,13600.00,9510.00
'2011 Sep 09',152.24,65.06,13500.00,9680.00
'2011 Sep 10',152.92,64.76,15000.00,9700.00
'2011 Sep 11',153.15,64.80,14500.00,9180.00
'2011 Sep 12',153.73,65.20,11200.00,9790.00
'2011 Sep 13',153.81,65.50,11220.00,9780.00
'2011 Sep 14',154.62,65.74,22000.00,9930.00
'2011 Sep 15',154.75,65.58,22000.00,9350.00
'2011 Sep 16',159.41,64.88,23000.00,9790.00
'2011 Sep 17',160.34,65.22,15800.00,9940.00
'2011 Sep 18',160.86,64.17,15000.00,10300.00
'2011 Sep 19',160.99,64.12,17000.00,9750.00
'2011 Sep 20',163.02,66.92,45000.00,20800.00
'2011 Sep 21',165.89,66.78,43500.00,20100.00
'2011 Sep 22',167.78,66.96,30000.00,19800.00
'2011 Sep 23',167.84,67.48,15500.00,19800.00
'2011 Sep 24',167.22,66.25,12800.00,19800.00
'2011 Sep 25',167.07,65.48,12000.00,18300.00
'2011 Sep 26',166.59,65.04,10900.00,14700.00
'2011 Sep 27',166.26,65.29,10800.00,11300.00
'2011 Sep 28',166.17,64.06,10500.00,9500.00
'2011 Sep 29',166.10,64.74,9700.00,10100.00
'2011 Sep 30',166.13,64.88,9700.00,9230.00
'2011 Oct 01',166.42,65.66,10800.00,7590.00
'2011 Oct 02',167.16,65.68,16000.00,7550.00
'2011 Oct 03',167.27,65.52,14500.00,7250.00
'2011 Oct 04',168.44,64.78,13000.00,7410.00
'2011 Oct 05',168.92,64.93,12000.00,7380.00
'2011 Oct 06',169.25,65.08,11200.00,7430.00
'2011 Oct 07',169.48,65.08,10200.00,7360.00
'2011 Oct 08',169.71,64.98,10500.00,7350.00
'2011 Oct 09',169.93,65.70,13000.00,7360.00
'2011 Oct 10',170.21,66.07,10000.00,6910.00
'2011 Oct 11',170.66,65.30,14000.00,7960.00
'2011 Oct 12',170.79,65.14,17000.00,7000.00
'2011 Oct 13',171.88,65.06,15000.00,7910.00
'2011 Oct 14',172.73,64.68,14000.00,7930.00
'2011 Oct 15',173.07,64.74,13800.00,8030.00
'2011 Oct 16',173.55,64.88,12500.00,7980.00
'2011 Oct 17',173.94,65.00,11800.00,8110.00
'2011 Oct 18',174.18,65.20,10800.00,8940.00
'2011 Oct 19',174.25,65.02,9800.00,8940.00
'2011 Oct 20',174.33,65.42,9100.00,8960.00
'2011 Oct 21',174.29,65.16,9200.00,8940.00
'2011 Oct 22',174.25,65.27,8500.00,8540.00
'2011 Oct 23',174.23,65.20,8500.00,8010.00
'2011 Oct 24',174.46,65.10,9300.00,9010.00
'2011 Oct 25',174.48,64.86,8200.00,7780.00
'2011 Oct 26',174.45,64.66,8100.00,6950.00
'2011 Oct 27',,,,
'2011 Oct 28',,,,
'2011 Oct 29',,,,
'2011 Oct 30',,,,
'2011 Oct 31',,,,
'2011 Nov 01',175.09,65.04,8100.00,8260.00
'2011 Nov 02',174.93,65.43,9700.00,11600.00
'2011 Nov 03',174.77,64.90,9800.00,12000.00
'2011 Nov 04',174.78,65.00,14000.00,13300.00
'2011 Nov 05',174.73,64.89,17000.00,15800.00
'2011 Nov 06',174.95,65.15,19800.00,17900.00
'2011 Nov 07',175.01,67.14,19700.00,20700.00
'2011 Nov 08',174.93,66.18,17300.00,19200.00
'2011 Nov 09',174.95,64.92,17500.00,17800.00
'2011 Nov 10',174.91,65.06,15600.00,17300.00
'2011 Nov 11',174.60,65.28,13000.00,17400.00
'2011 Nov 12',174.37,65.06,11500.00,15200.00
'2011 Nov 13',174.29,64.58,10300.00,12100.00
'2011 Nov 14',174.31,65.04,9400.00,9510.00
'2011 Nov 15',174.32,64.95,9000.00,9040.00
'2011 Nov 16',174.54,64.32,11800.00,8370.00
'2011 Nov 17',174.76,64.82,10300.00,8810.00
'2011 Nov 18',174.83,65.22,10500.00,10600.00
'2011 Nov 19',174.88,65.16,9200.00,8700.00
'2011 Nov 20',174.97,64.42,8900.00,8290.00
'2011 Nov 21',174.99,64.60,8200.00,8810.00
'2011 Nov 22',174.89,65.09,7800.00,9500.00
'2011 Nov 23',174.63,65.00,7300.00,9600.00
'2011 Nov 24',174.56,65.12,7000.00,8230.00
'2011 Nov 25',174.46,64.94,7000.00,7170.00
'2011 Nov 26',174.47,64.86,7000.00,6400.00
'2011 Nov 27',174.44,64.70,6700.00,6210.00
'2011 Nov 28',174.39,64.94,6400.00,6380.00
'2011 Nov 29',174.30,64.72,6000.00,6630.00
'2011 Nov 30',174.37,65.04,6500.00,5910.00
'2011 Dec 01',174.58,64.86,6200.00,5420.00
'2011 Dec 02',174.54,65.12,6200.00,5790.00
'2011 Dec 03',174.51,65.10,6000.00,5540.00
'2011 Dec 04',174.65,64.89,6300.00,5480.00
'2011 Dec 05',174.75,64.62,6400.00,5560.00
'2011 Dec 06',174.79,64.98,6600.00,5600.00
'2011 Dec 07',174.92,64.46,6900.00,5500.00
'2011 Dec 08',174.92,64.04,6500.00,6050.00
'2011 Dec 09',174.75,63.64,6600.00,7250.00
'2011 Dec 10',174.83,64.40,6100.00,5610.00
'2011 Dec 11',174.86,64.98,5800.00,5620.00
'2011 Dec 12',174.83,65.12,5700.00,6310.00
'2011 Dec 13',174.76,64.58,5700.00,5350.00
'2011 Dec 14',174.83,64.79,5600.00,5380.00
'2011 Dec 15',174.80,64.70,5700.00,5630.00
'2011 Dec 16',174.74,64.56,5700.00,6000.00
'2011 Dec 17',174.75,65.00,5700.00,5470.00
'2011 Dec 18',174.75,64.90,5700.00,5200.00
'2011 Dec 19',174.78,65.10,5700.00,5450.00
'2011 Dec 20',174.77,64.86,5800.00,5450.00
'2011 Dec 21',174.82,64.50,5800.00,5430.00
'2011 Dec 22',174.80,64.78,5700.00,5450.00
'2011 Dec 23',174.82,64.68,5600.00,5440.00
'2011 Dec 24',174.82,64.49,5900.00,5450.00
'2011 Dec 25',174.85,64.64,6000.00,5440.00
'2011 Dec 26',174.88,65.02,6100.00,5470.00
'2011 Dec 27',174.93,65.29,6000.00,5450.00
'2011 Dec 28',174.89,64.68,5700.00,5640.00
'2011 Dec 29',174.84,64.48,5600.00,5640.00
'2011 Dec 30',174.80,64.88,5400.00,5660.00
'2011 Dec 31',174.74,65.02,5300.00,5840.00
'2012 Jan 01',174.68,64.76,5000.00,5840.00
'2012 Jan 02',174.58,65.18,5000.00,5850.00
'2012 Jan 03',174.57,65.22,5200.00,5850.00
'2012 Jan 04',174.57,65.10,5800.00,5860.00
'2012 Jan 05',174.53,65.08,5300.00,6270.00
'2012 Jan 06',174.46,64.71,5800.00,6230.00
'2012 Jan 07',174.42,64.60,5300.00,6240.00
'2012 Jan 08',174.32,64.66,5400.00,6260.00
'2012 Jan 09',174.29,64.72,5550.00,5840.00
'2012 Jan 10',174.22,64.86,5400.00,5840.00
'2012 Jan 11',174.15,65.26,4900.00,5950.00
'2012 Jan 12',174.10,65.18,5300.00,5850.00
'2012 Jan 13',173.96,65.46,5000.00,5870.00
'2012 Jan 14',173.85,65.91,5000.00,5930.00
'2012 Jan 15',173.72,66.11,4600.00,5990.00
'2012 Jan 16',173.53,64.92,4600.00,5880.00
'2012 Jan 17',173.43,64.66,4500.00,5740.00
'2012 Jan 18',173.30,64.80,4400.00,5740.00
'2012 Jan 19',173.16,65.06,4500.00,5760.00
'2012 Jan 20',173.04,65.15,4700.00,5780.00
'2012 Jan 21',172.99,64.98,4900.00,5760.00
'2012 Jan 22',172.94,64.80,5000.00,5690.00
'2012 Jan 23',172.85,65.35,5200.00,5690.00
'2012 Jan 24',172.81,65.30,5100.00,5720.00
'2012 Jan 25',172.72,65.14,5100.00,5700.00
'2012 Jan 26',172.64,65.02,5100.00,5720.00
'2012 Jan 27',172.52,65.04,5000.00,5730.00
'2012 Jan 28',172.47,65.04,4900.00,5720.00
'2012 Jan 29',172.36,64.82,5200.00,5800.00
'2012 Jan 30',172.30,65.03,5300.00,5770.00
'2012 Jan 31',172.31,65.18,5400.00,5770.00
'2012 Feb 01',172.22,65.06,5300.00,5760.00
'2012 Feb 02',172.12,65.12,5000.00,5780.00
'2012 Feb 03',171.98,65.30,4900.00,5790.00
'2012 Feb 04',171.86,64.97,4700.00,5750.00
'2012 Feb 05',171.79,64.66,4700.00,5730.00
'2012 Feb 06',171.65,64.56,4600.00,5730.00
'2012 Feb 07',171.45,64.92,4500.00,5800.00
'2012 Feb 08',171.32,65.06,4400.00,5830.00
'2012 Feb 09',171.17,64.66,4400.00,5790.00
'2012 Feb 10',171.04,65.02,4600.00,5910.00
'2012 Feb 11',170.85,64.84,4600.00,6530.00
'2012 Feb 12',170.72,65.18,4600.00,5850.00
'2012 Feb 13',170.59,64.98,4400.00,5850.00
'2012 Feb 14',170.41,64.84,4900.00,6440.00
'2012 Feb 15',170.25,64.60,4500.00,5990.00
'2012 Feb 16',170.05,64.64,4100.00,5980.00
'2012 Feb 17',169.81,65.24,4000.00,6050.00
'2012 Feb 18',169.61,64.83,3800.00,5820.00
'2012 Feb 19',169.41,64.92,4000.00,5830.00
'2012 Feb 20',169.23,64.99,3700.00,5870.00
'2012 Feb 21',169.03,64.97,3800.00,5870.00
'2012 Feb 22',168.89,64.48,4200.00,5850.00
'2012 Feb 23',168.64,64.67,4200.00,5890.00
'2012 Feb 24',168.43,64.92,4200.00,5890.00
'2012 Feb 25',168.26,64.52,4400.00,5870.00
'2012 Feb 26',168.11,64.52,4200.00,5900.00
'2012 Feb 27',167.95,65.10,4100.00,5920.00
'2012 Feb 28',167.91,64.74,4100.00,5140.00
'2012 Feb 29',167.70,64.44,4200.00,5130.00
'2012 Mar 01',167.49,64.84,4500.00,5820.00
'2012 Mar 02',167.30,65.08,4600.00,5840.00
'2012 Mar 03',167.19,65.06,4700.00,5610.00
'2012 Mar 04',167.12,64.86,4800.00,5610.00
'2012 Mar 05',167.03,64.68,4700.00,5570.00
'2012 Mar 06',166.92,64.98,4500.00,5770.00
'2012 Mar 07',166.72,65.06,4500.00,6060.00
'2012 Mar 08',166.60,64.88,4650.00,5610.00
'2012 Mar 09',166.45,64.86,4700.00,5680.00
'2012 Mar 10',166.33,64.86,4800.00,5670.00
'2012 Mar 11',166.30,64.52,4800.00,4930.00
'2012 Mar 12',166.12,64.72,4900.00,5650.00
'2012 Mar 13',165.99,64.70,4900.00,5690.00
'2012 Mar 14',165.86,64.76,4800.00,5670.00
'2012 Mar 15',165.77,65.02,4700.00,5670.00
'2012 Mar 16',165.63,64.90,4500.00,5690.00
'2012 Mar 17',165.49,64.82,4400.00,5630.00
'2012 Mar 18',165.27,64.96,4400.00,5650.00
'2012 Mar 19',165.07,64.98,4500.00,5660.00
'2012 Mar 20',164.87,64.80,4500.00,5650.00
'2012 Mar 21',164.73,64.65,4600.00,5670.00
'2012 Mar 22',164.70,64.67,5000.00,5630.00
'2012 Mar 23',164.67,64.94,5000.00,5650.00
'2012 Mar 24',164.53,64.92,5000.00,5650.00
'2012 Mar 25',164.46,64.86,5000.00,5630.00
'2012 Mar 26',164.43,65.00,5200.00,5640.00
'2012 Mar 27',164.36,64.82,5000.00,5650.00
'2012 Mar 28',164.25,64.41,4900.00,5590.00
'2012 Mar 29',164.18,64.60,5200.00,5560.00
'2012 Mar 30',164.11,64.72,5000.00,5540.00
'2012 Mar 31',164.03,64.64,5000.00,5530.00
'2012 Apr 01',163.98,64.80,5800.00,5570.00
'2012 Apr 02',163.99,64.84,5900.00,5570.00
'2012 Apr 03',163.93,64.76,5600.00,5560.00
'2012 Apr 04',163.96,64.66,5600.00,5580.00
'2012 Apr 05',163.99,64.46,5600.00,5560.00
'2012 Apr 06',163.94,64.68,5800.00,5610.00
'2012 Apr 07',163.85,64.88,5300.00,5670.00
'2012 Apr 08',163.74,65.06,5200.00,5810.00
'2012 Apr 09',163.72,64.81,5100.00,4900.00
'2012 Apr 10',163.51,64.68,5100.00,5680.00
'2012 Apr 11',163.42,64.84,5500.00,5700.00
'2012 Apr 12',163.48,64.76,6600.00,5730.00
'2012 Apr 13',163.61,65.06,6400.00,5710.00
'2012 Apr 14',163.69,64.80,6500.00,5690.00
'2012 Apr 15',163.72,64.46,5900.00,5670.00
'2012 Apr 16',163.74,64.58,6000.00,5660.00
'2012 Apr 17',163.76,64.66,5900.00,5670.00
'2012 Apr 18',163.74,64.50,5900.00,4880.00
'2012 Apr 19',163.78,64.94,5800.00,5680.00
'2012 Apr 20',163.76,64.76,5900.00,5680.00
'2012 Apr 21',163.69,64.82,6000.00,6450.00
'2012 Apr 22',163.58,64.88,5800.00,6470.00
'2012 Apr 23',163.43,65.08,6200.00,6480.00
'2012 Apr 24',163.54,64.88,8000.00,7180.00
'2012 Apr 25',163.50,64.74,6800.00,7170.00
'2012 Apr 26',163.35,64.88,6200.00,7200.00
'2012 Apr 27',163.26,64.72,6200.00,7190.00
'2012 Apr 28',163.13,65.18,7000.00,7230.00
'2012 Apr 29',163.02,64.88,6600.00,7210.00
'2012 Apr 30',163.04,64.96,7800.00,7240.00
'2012 May 01',163.98,64.80,5800.00,5570.00
'2012 May 02',163.21,64.78,9400.00,7480.00
'2012 May 03',162.99,65.77,9300.00,11500.00
'2012 May 04',162.66,65.47,9500.00,12300.00
'2012 May 05',162.32,64.73,9000.00,11800.00
'2012 May 06',161.96,65.56,8500.00,11900.00
'2012 May 07',161.41,64.70,9600.00,14300.00
'2012 May 08',160.75,64.70,9500.00,15000.00
'2012 May 09',160.29,64.85,9500.00,14200.00
'2012 May 10',159.78,64.78,9500.00,14200.00
'2012 May 11',158.88,65.42,10000.00,17100.00
'2012 May 12',158.23,65.41,11500.00,17100.00
'2012 May 13',158.17,64.34,16000.00,15500.00
'2012 May 14',158.28,65.18,18000.00,18200.00
'2012 May 15',158.37,64.68,16000.00,17400.00
'2012 May 16',158.06,65.08,14900.00,18200.00
'2012 May 17',157.54,64.88,13000.00,18300.00
'2012 May 18',156.78,65.06,11800.00,18600.00
'2012 May 19',156.26,64.60,11800.00,15700.00
'2012 May 20',155.53,64.44,10800.00,16100.00
'2012 May 21',154.84,64.88,12000.00,16500.00
'2012 May 22',154.65,65.16,15800.00,17200.00
'2012 May 23',154.26,64.64,15000.00,18900.00
'2012 May 24',153.80,65.36,15400.00,19200.00
'2012 May 25',153.34,65.90,14300.00,19400.00
'2012 May 26',153.46,64.82,13500.00,13000.00
'2012 May 27',153.78,64.50,13500.00,11200.00
'2012 May 28',153.49,64.74,13000.00,16300.00
'2012 May 29',153.54,64.66,13800.00,15000.00
'2012 May 30',153.20,67.54,19500.00,23600.00
'2012 May 31',152.86,67.62,18500.00,22700.00
'2012 Jun 01',152.39,67.22,15000.00,18500.00
'2012 Jun 02',151.74,66.89,14500.00,18000.00
'2012 Jun 03',151.10,66.86,15000.00,16800.00
'2012 Jun 04',150.53,66.86,19000.00,18600.00
'2012 Jun 05',149.67,67.38,20000.00,23700.00
'2012 Jun 06',148.86,67.52,18000.00,24300.00
'2012 Jun 07',148.34,67.20,17000.00,21700.00
'2012 Jun 08',147.56,66.66,16000.00,17400.00
'2012 Jun 09',146.82,67.10,17000.00,18400.00
'2012 Jun 10',146.14,66.92,15800.00,17100.00
'2012 Jun 11',145.59,66.96,15800.00,19000.00
'2012 Jun 12',145.45,65.22,15200.00,16500.00
'2012 Jun 13',145.50,64.60,14200.00,12800.00
'2012 Jun 14',145.37,65.06,13700.00,12900.00
'2012 Jun 15',145.59,65.05,13600.00,12100.00
'2012 Jun 16',145.74,64.54,13000.00,12000.00
'2012 Jun 17',145.70,64.82,12200.00,12000.00
'2012 Jun 18',145.64,64.78,11600.00,11900.00
'2012 Jun 19',145.57,64.81,11800.00,11900.00
'2012 Jun 20',145.47,64.48,12200.00,11800.00
'2012 Jun 21',145.60,65.08,12600.00,11400.00
'2012 Jun 22',145.75,64.86,12800.00,11300.00
'2012 Jun 23',145.92,65.08,13400.00,11300.00
'2012 Jun 24',146.22,65.06,15000.00,11300.00
'2012 Jun 25',145.94,65.56,15300.00,18200.00
'2012 Jun 26',145.59,64.94,16500.00,19300.00
'2012 Jun 27',145.09,65.66,16500.00,19300.00
'2012 Jun 28',145.51,65.34,16000.00,14100.00
'2012 Jun 29',145.70,64.76,18000.00,14600.00
'2012 Jun 30',145.26,67.24,23500.00,21700.00
'2012 Jul 01',145.53,67.62,33000.00,27500.00
'2012 Jul 02',146.19,69.14,41000.00,33500.00
'2012 Jul 03',146.75,68.78,39500.00,35500.00
'2012 Jul 04',146.84,68.76,39000.00,37000.00
'2012 Jul 05',148.82,69.80,54000.00,40900.00
'2012 Jul 06',150.53,69.64,55500.00,40600.00
'2012 Jul 07',152.44,69.74,45300.00,40900.00
'2012 Jul 08',152.49,69.60,37500.00,41400.00
'2012 Jul 09',152.13,69.47,43000.00,41500.00
'2012 Jul 10',152.49,70.58,49000.00,41400.00
'2012 Jul 11',153.48,70.56,48000.00,41500.00
'2012 Jul 12',154.93,70.54,55500.00,41600.00
'2012 Jul 13',156.00,70.32,39500.00,40900.00
'2012 Jul 14',158.30,68.38,34000.00,27700.00
'2012 Jul 15',158.84,68.17,28500.00,27500.00
'2012 Jul 16',158.77,68.44,26500.00,27600.00
'2012 Jul 17',157.46,70.40,30500.00,38500.00
'2012 Jul 18',156.33,70.26,35500.00,37400.00
'2012 Jul 19',156.02,70.26,39000.00,39000.00
'2012 Jul 20',156.34,70.36,42500.00,38900.00
'2012 Jul 21',156.94,70.22,37500.00,38100.00
'2012 Jul 22',156.74,70.30,35500.00,38400.00
'2012 Jul 23',155.88,70.76,57500.00,43400.00
'2012 Jul 24',158.04,71.07,71200.00,44100.00
'2012 Jul 25',161.21,71.04,58500.00,43400.00
'2012 Jul 26',162.87,70.89,47000.00,42700.00
'2012 Jul 27',162.77,71.26,40500.00,45100.00
'2012 Jul 28',161.98,71.22,37000.00,45100.00
'2012 Jul 29',160.99,71.34,38000.00,45100.00
'2012 Jul 30',160.11,71.48,38000.00,45700.00
'2012 Jul 31',159.41,71.00,34500.00,43500.00
'2012 Aug 01',160.20,69.78,32500.00,34200.00
'2012 Aug 02',159.98,69.62,34000.00,33800.00
'2012 Aug 03',159.89,69.56,33000.00,34000.00
'2012 Aug 04',159.92,70.08,32000.00,37300.00
'2012 Aug 05',158.53,69.02,25200.00,31700.00
'2012 Aug 06',158.44,68.42,23000.00,27700.00
'2012 Aug 07',158.21,68.50,24500.00,27800.00
'2012 Aug 08',157.87,68.40,28300.00,28000.00
'2012 Aug 09',157.98,68.44,28500.00,27900.00
'2012 Aug 10',157.93,68.38,24500.00,27900.00
'2012 Aug 11',157.37,68.54,22200.00,28300.00
'2012 Aug 12',156.52,68.54,20200.00,28700.00
'2012 Aug 13',155.19,68.74,18500.00,29400.00
'2012 Aug 14',153.55,68.76,17300.00,30300.00
'2012 Aug 15',152.04,68.04,17000.00,29100.00
'2012 Aug 16',150.57,68.46,17600.00,28300.00
'2012 Aug 17',149.52,68.30,21000.00,27700.00
'2012 Aug 18',148.71,68.22,19800.00,27500.00
'2012 Aug 19',147.99,68.08,22600.00,25300.00
'2012 Aug 20',146.68,68.70,25000.00,30100.00
'2012 Aug 21',145.92,68.64,25500.00,30000.00
'2012 Aug 22',146.71,67.32,22500.00,32900.00
'2012 Aug 23',147.73,66.49,20600.00,16600.00
'2012 Aug 24',148.14,65.30,19200.00,18900.00
'2012 Aug 25',148.26,65.52,17700.00,19200.00
'2012 Aug 26',148.21,65.40,17000.00,19200.00
'2012 Aug 27',148.05,65.04,18000.00,19100.00
'2012 Aug 28',148.12,65.34,19400.00,19200.00
'2012 Aug 29',148.34,65.21,19700.00,19200.00
'2012 Aug 30',149.15,64.92,20800.00,16600.00
'2012 Aug 31',149.61,64.44,20800.00,13000.00
'2012 Sep 01',150.59,65.78,29000.00,19500.00
'2012 Sep 02',152.73,67.26,44000.00,25200.00
'2012 Sep 03',155.43,68.32,51500.00,26400.00
'2012 Sep 04',158.62,68.26,41000.00,26400.00
'2012 Sep 05',159.96,68.24,28000.00,26000.00
'2012 Sep 06',159.98,68.22,24600.00,26000.00
'2012 Sep 07',159.78,68.26,24300.00,26100.00
'2012 Sep 08',159.65,67.92,22500.00,24700.00
'2012 Sep 09',158.85,68.26,20000.00,26400.00
'2012 Sep 10',159.18,67.42,21000.00,20600.00
'2012 Sep 11',159.71,66.55,30000.00,19400.00
'2012 Sep 12',162.23,65.40,40000.00,19200.00
'2012 Sep 13',163.76,67.96,37000.00,24300.00
'2012 Sep 14',165.12,67.84,30500.00,24000.00
'2012 Sep 15',165.85,67.64,24500.00,22400.00
'2012 Sep 16',166.11,67.62,21500.00,22300.00
'2012 Sep 17',166.19,67.64,21800.00,21300.00
'2012 Sep 18',166.19,67.66,22000.00,22600.00
'2012 Sep 19',166.26,67.70,22800.00,22600.00
